issuenumber,resolution_time,room,configuration,name
56,6655.0,amber,Gitter,amber
171,3876.0,amber,Gitter,amber
233,3117.0,amber,Gitter,amber
269,6627.0,amber,Gitter,amber
273,5979.0,amber,Gitter,amber
298,875.0,amber,Gitter,amber
306,711.0,amber,Gitter,amber
322,238.0,amber,Gitter,amber
339,101.0,amber,Gitter,amber
346,1274.0,amber,Gitter,amber
352,299.0,amber,Gitter,amber
385,1296.0,amber,Gitter,amber
420,2371.0,amber,Gitter,amber
438,244.0,amber,Gitter,amber
441,206.0,amber,Gitter,amber
446,178.0,amber,Gitter,amber
465,194.0,amber,Gitter,amber
467,349.0,amber,Gitter,amber
469,100.0,amber,Gitter,amber
476,8492.0,amber,Gitter,amber
478,22.0,amber,Gitter,amber
486,2.0,amber,Gitter,amber
491,97.0,amber,Gitter,amber
507,6581.0,amber,Gitter,amber
509,1.0,amber,Gitter,amber
518,0.0,amber,Gitter,amber
519,15.0,amber,Gitter,amber
520,0.0,amber,Gitter,amber
522,39.0,amber,Gitter,amber
534,190.0,amber,Gitter,amber
553,1321.0,amber,Gitter,amber
582,164.0,amber,Gitter,amber
585,951.0,amber,Gitter,amber
590,34.0,amber,Gitter,amber
592,894.0,amber,Gitter,amber
617,32.0,amber,Gitter,amber
619,11.0,amber,Gitter,amber
629,2180.0,amber,Gitter,amber
688,6961.0,amber,Gitter,amber
693,5170.0,amber,Gitter,amber
697,6835.0,amber,Gitter,amber
699,6771.0,amber,Gitter,amber
724,6412.0,amber,Gitter,amber
731,70.0,amber,Gitter,amber
747,1535.0,amber,Gitter,amber
749,9682.0,amber,Gitter,amber
750,1510.0,amber,Gitter,amber
757,53.0,amber,Gitter,amber
770,5907.0,amber,Gitter,amber
772,4108.0,amber,Gitter,amber
773,1174.0,amber,Gitter,amber
805,45.0,amber,Gitter,amber
806,5221.0,amber,Gitter,amber
835,496.0,amber,Gitter,amber
840,4747.0,amber,Gitter,amber
841,4737.0,amber,Gitter,amber
842,4105.0,amber,Gitter,amber
916,3095.0,amber,Gitter,amber
919,24.0,amber,Gitter,amber
928,49.0,amber,Gitter,amber
938,270.0,amber,Gitter,amber
941,6697.0,amber,Gitter,amber
942,6362.0,amber,Gitter,amber
958,2216.0,amber,Gitter,amber
995,3701.0,amber,Gitter,amber
1078,4535.0,amber,Gitter,amber
1089,553.0,amber,Gitter,amber
59,7348.0,aws,Gitter,aws-sdk-go
88,1696.0,aws,Gitter,aws-sdk-go
208,826.0,aws,Gitter,aws-sdk-go
409,31910.0,aws,Gitter,aws-sdk-go
567,21.0,aws,Gitter,aws-sdk-go
682,29573.0,aws,Gitter,aws-sdk-go
970,329.0,aws,Gitter,aws-sdk-go
984,167.0,aws,Gitter,aws-sdk-go
1226,399.0,aws,Gitter,aws-sdk-go
1710,6913.0,aws,Gitter,aws-sdk-go
1769,12895.0,aws,Gitter,aws-sdk-go
2560,9.0,aws,Gitter,aws-sdk-go
2,5698.0,JTAppleCalendar,Gitter,JTAppleCalendar
12,266.0,JTAppleCalendar,Gitter,JTAppleCalendar
38,5543.0,JTAppleCalendar,Gitter,JTAppleCalendar
112,0.0,JTAppleCalendar,Gitter,JTAppleCalendar
177,0.0,JTAppleCalendar,Gitter,JTAppleCalendar
182,0.0,JTAppleCalendar,Gitter,JTAppleCalendar
195,2.0,JTAppleCalendar,Gitter,JTAppleCalendar
207,180.0,JTAppleCalendar,Gitter,JTAppleCalendar
216,5879.0,JTAppleCalendar,Gitter,JTAppleCalendar
221,2981.0,JTAppleCalendar,Gitter,JTAppleCalendar
244,385.0,JTAppleCalendar,Gitter,JTAppleCalendar
252,437.0,JTAppleCalendar,Gitter,JTAppleCalendar
296,1191.0,JTAppleCalendar,Gitter,JTAppleCalendar
377,158.0,JTAppleCalendar,Gitter,JTAppleCalendar
391,3455.0,JTAppleCalendar,Gitter,JTAppleCalendar
408,91.0,JTAppleCalendar,Gitter,JTAppleCalendar
423,18.0,JTAppleCalendar,Gitter,JTAppleCalendar
431,146.0,JTAppleCalendar,Gitter,JTAppleCalendar
438,387.0,JTAppleCalendar,Gitter,JTAppleCalendar
441,140.0,JTAppleCalendar,Gitter,JTAppleCalendar
454,917.0,JTAppleCalendar,Gitter,JTAppleCalendar
496,90.0,JTAppleCalendar,Gitter,JTAppleCalendar
505,139.0,JTAppleCalendar,Gitter,JTAppleCalendar
511,25.0,JTAppleCalendar,Gitter,JTAppleCalendar
517,13589.0,JTAppleCalendar,Gitter,JTAppleCalendar
542,562.0,JTAppleCalendar,Gitter,JTAppleCalendar
553,1139.0,JTAppleCalendar,Gitter,JTAppleCalendar
557,10193.0,JTAppleCalendar,Gitter,JTAppleCalendar
581,0.0,JTAppleCalendar,Gitter,JTAppleCalendar
588,5.0,JTAppleCalendar,Gitter,JTAppleCalendar
626,8.0,JTAppleCalendar,Gitter,JTAppleCalendar
629,12896.0,JTAppleCalendar,Gitter,JTAppleCalendar
642,8.0,JTAppleCalendar,Gitter,JTAppleCalendar
661,36.0,JTAppleCalendar,Gitter,JTAppleCalendar
667,1.0,JTAppleCalendar,Gitter,JTAppleCalendar
687,1013.0,JTAppleCalendar,Gitter,JTAppleCalendar
767,48.0,JTAppleCalendar,Gitter,JTAppleCalendar
792,173.0,JTAppleCalendar,Gitter,JTAppleCalendar
836,5626.0,JTAppleCalendar,Gitter,JTAppleCalendar
1030,159.0,JTAppleCalendar,Gitter,JTAppleCalendar
1068,492.0,JTAppleCalendar,Gitter,JTAppleCalendar
1094,196.0,JTAppleCalendar,Gitter,JTAppleCalendar
27,12815.0,mailboxer,Gitter,mailboxer
9,5062.0,perfect,Gitter,Perfect
12,5317.0,perfect,Gitter,Perfect
127,3124.0,perfect,Gitter,Perfect
162,241.0,perfect,Gitter,Perfect
164,128.0,perfect,Gitter,Perfect
190,71.0,perfect,Gitter,Perfect
7,12482.0,react,Gitter,react-starter-kit
22,12155.0,react,Gitter,react-starter-kit
98,7182.0,react,Gitter,react-starter-kit
121,155.0,react,Gitter,react-starter-kit
256,437.0,react,Gitter,react-starter-kit
337,3183.0,react,Gitter,react-starter-kit
370,279.0,react,Gitter,react-starter-kit
375,7136.0,react,Gitter,react-starter-kit
423,6426.0,react,Gitter,react-starter-kit
570,6.0,react,Gitter,react-starter-kit
587,0.0,react,Gitter,react-starter-kit
588,4470.0,react,Gitter,react-starter-kit
702,5790.0,react,Gitter,react-starter-kit
723,156.0,react,Gitter,react-starter-kit
759,2261.0,react,Gitter,react-starter-kit
811,2093.0,react,Gitter,react-starter-kit
841,116.0,react,Gitter,react-starter-kit
916,263.0,react,Gitter,react-starter-kit
1069,1150.0,react,Gitter,react-starter-kit
1080,233.0,react,Gitter,react-starter-kit
1083,321.0,react,Gitter,react-starter-kit
1178,41.0,react,Gitter,react-starter-kit
1215,11674.0,react,Gitter,react-starter-kit
1286,46.0,react,Gitter,react-starter-kit
1398,512.0,react,Gitter,react-starter-kit
1640,8150.0,react,Gitter,react-starter-kit
1648,94.0,react,Gitter,react-starter-kit
1681,5412.0,react,Gitter,react-starter-kit
1712,27.0,react,Gitter,react-starter-kit
74,18480.0,shuup,Gitter,shuup
204,17385.0,shuup,Gitter,shuup
621,925.0,shuup,Gitter,shuup
1152,2038.0,shuup,Gitter,shuup
1655,842.0,shuup,Gitter,shuup
1662,700.0,shuup,Gitter,shuup
1730,794.0,shuup,Gitter,shuup
1755,30.0,shuup,Gitter,shuup
