"","ratio","roomname"
"1",0.2,"amber"
"2",0.2,"amber"
"3",0,"amber"
"4",0,"amber"
"5",2,"amber"
"6",1,"amber"
"7",1,"amber"
"8",1,"amber"
"9",1,"amber"
"10",1,"amber"
"11",0,"amber"
"12",0.3,"amber"
"13",0,"amber"
"14",2,"amber"
"15",0,"amber"
"16",0,"amber"
"17",0.5,"amber"
"18",0.5,"amber"
"19",0,"amber"
"20",0,"amber"
"21",2,"amber"
"22",1,"amber"
"23",1,"amber"
"24",2,"amber"
"25",0,"amber"
"26",0,"amber"
"27",0,"amber"
"28",0,"amber"
"29",0,"amber"
"30",0,"amber"
"31",0,"amber"
"32",0,"amber"
"33",0,"amber"
"34",0,"amber"
"35",0,"amber"
"36",0,"amber"
"37",0,"amber"
"38",0,"amber"
"39",0,"amber"
"40",0,"amber"
"41",0,"amber"
"42",1,"amber"
"43",1,"amber"
"44",1,"amber"
"45",1,"amber"
"46",1,"amber"
"47",1,"amber"
"48",1,"amber"
"49",1,"amber"
"50",1,"amber"
"51",1,"amber"
"52",1,"amber"
"53",1,"amber"
"54",1,"amber"
"55",1,"amber"
"56",1,"amber"
"57",1,"amber"
"58",3,"amber"
"59",3,"amber"
"60",3,"amber"
"61",3,"amber"
"62",3,"amber"
"63",3,"amber"
"64",3,"amber"
"65",3,"amber"
"66",3,"amber"
"67",3,"amber"
"68",3,"amber"
"69",3,"amber"
"70",3,"amber"
"71",3,"amber"
"72",3,"amber"
"73",3,"amber"
"74",4,"amber"
"75",4,"amber"
"76",4,"amber"
"77",4,"amber"
"78",4,"amber"
"79",4,"amber"
"80",4,"amber"
"81",4,"amber"
"82",4,"amber"
"83",4,"amber"
"84",4,"amber"
"85",4,"amber"
"86",4,"amber"
"87",4,"amber"
"88",4,"amber"
"89",4,"amber"
"90",0,"amber"
"91",0,"amber"
"92",0,"amber"
"93",0,"amber"
"94",0,"amber"
"95",0,"amber"
"96",0,"amber"
"97",0,"amber"
"98",0,"amber"
"99",0,"amber"
"100",0,"amber"
"101",0,"amber"
"102",0,"amber"
"103",0,"amber"
"104",0,"amber"
"105",0,"amber"
"106",8,"amber"
"107",0,"amber"
"108",0,"amber"
"109",2,"amber"
"110",1.5,"amber"
"111",0.4,"amber"
"112",11,"amber"
"113",3,"amber"
"114",5,"amber"
"115",5,"amber"
"116",5,"amber"
"117",5,"amber"
"118",0,"amber"
"119",0,"amber"
"120",0,"amber"
"121",0,"amber"
"122",0,"amber"
"123",0,"amber"
"124",0,"amber"
"125",0,"amber"
"126",2,"amber"
"127",2,"amber"
"128",2,"amber"
"129",1,"amber"
"130",3,"amber"
"131",0,"amber"
"132",0,"amber"
"133",23,"amber"
"134",23,"amber"
"135",0,"amber"
"136",3,"amber"
"137",3,"amber"
"138",0,"amber"
"139",0,"amber"
"140",1,"amber"
