resolution_time,name,configuration
15,amber,Gitter
711,amber,Gitter
151,amber,Gitter
6627,amber,Gitter
875,amber,Gitter
1,amber,Gitter
110,amber,Gitter
107,amber,Gitter
37,amber,Gitter
101,amber,Gitter
101,amber,Gitter
51,amber,Gitter
63,amber,Gitter
115,amber,Gitter
115,amber,Gitter
1274,amber,Gitter
36,amber,Gitter
76,amber,Gitter
1274,amber,Gitter
6627,amber,Gitter
NA,amber,Gitter
1296,amber,Gitter
260,amber,Gitter
299,amber,Gitter
299,amber,Gitter
244,amber,Gitter
178,amber,Gitter
206,amber,Gitter
463,amber,Gitter
48,amber,Gitter
301,amber,Gitter
48,amber,Gitter
168,amber,Gitter
74,amber,Gitter
100,amber,Gitter
22,amber,Gitter
22,amber,Gitter
21,amber,Gitter
2,amber,Gitter
97,amber,Gitter
2147,amber,Gitter
17,amber,Gitter
73,amber,Gitter
3117,amber,Gitter
8492,amber,Gitter
463,amber,Gitter
463,amber,Gitter
73,amber,Gitter
3,amber,Gitter
1,amber,Gitter
2,amber,Gitter
1,amber,Gitter
1,amber,Gitter
2,amber,Gitter
5,amber,Gitter
0,amber,Gitter
15,amber,Gitter
0,amber,Gitter
5,amber,Gitter
6,amber,Gitter
24,amber,Gitter
11,amber,Gitter
39,amber,Gitter
53,amber,Gitter
2,amber,Gitter
2,amber,Gitter
2,amber,Gitter
2,amber,Gitter
2,amber,Gitter
2371,amber,Gitter
3876,amber,Gitter
11,amber,Gitter
75,amber,Gitter
69,amber,Gitter
8492,amber,Gitter
39,amber,Gitter
4,amber,Gitter
1321,amber,Gitter
8492,amber,Gitter
69,amber,Gitter
8492,amber,Gitter
32,amber,Gitter
8492,amber,Gitter
124,amber,Gitter
951,amber,Gitter
63,amber,Gitter
34,amber,Gitter
8427,amber,Gitter
8427,amber,Gitter
16,amber,Gitter
164,amber,Gitter
NA,amber,Gitter
8427,amber,Gitter
68,amber,Gitter
11,amber,Gitter
11,amber,Gitter
433,amber,Gitter
433,amber,Gitter
433,amber,Gitter
87,amber,Gitter
8492,amber,Gitter
2147,amber,Gitter
6655,amber,Gitter
51,amber,Gitter
6655,amber,Gitter
349,amber,Gitter
280,amber,Gitter
73,amber,Gitter
8492,amber,Gitter
41,amber,Gitter
32,amber,Gitter
579,amber,Gitter
289,amber,Gitter
579,amber,Gitter
8492,amber,Gitter
5170,amber,Gitter
NA,amber,Gitter
2180,amber,Gitter
34,amber,Gitter
8492,amber,Gitter
5170,amber,Gitter
189,amber,Gitter
8492,amber,Gitter
189,amber,Gitter
291,amber,Gitter
290,amber,Gitter
5979,amber,Gitter
290,amber,Gitter
290,amber,Gitter
NA,amber,Gitter
NA,amber,Gitter
6412,amber,Gitter
8492,amber,Gitter
8492,amber,Gitter
6771,amber,Gitter
190,amber,Gitter
55,amber,Gitter
69,amber,Gitter
NA,amber,Gitter
6961,amber,Gitter
5,amber,Gitter
51,amber,Gitter
5170,amber,Gitter
55,amber,Gitter
5170,amber,Gitter
8492,amber,Gitter
894,amber,Gitter
8,amber,Gitter
8,amber,Gitter
358,amber,Gitter
135,amber,Gitter
22,amber,Gitter
9682,amber,Gitter
1535,amber,Gitter
1510,amber,Gitter
8492,amber,Gitter
1535,amber,Gitter
358,amber,Gitter
5979,amber,Gitter
53,amber,Gitter
46,amber,Gitter
6581,amber,Gitter
NA,amber,Gitter
1174,amber,Gitter
4108,amber,Gitter
4108,amber,Gitter
312,amber,Gitter
312,amber,Gitter
1510,amber,Gitter
2637,amber,Gitter
17,amber,Gitter
8492,amber,Gitter
6835,amber,Gitter
67,amber,Gitter
45,amber,Gitter
1447,amber,Gitter
5221,amber,Gitter
33,amber,Gitter
2283,amber,Gitter
5979,amber,Gitter
238,amber,Gitter
127,amber,Gitter
21,amber,Gitter
4747,amber,Gitter
4737,amber,Gitter
4105,amber,Gitter
3491,amber,Gitter
NA,amber,Gitter
4567,amber,Gitter
4567,amber,Gitter
194,amber,Gitter
28,amber,Gitter
80,amber,Gitter
80,amber,Gitter
117,amber,Gitter
1557,amber,Gitter
5907,amber,Gitter
1650,amber,Gitter
NA,amber,Gitter
69,amber,Gitter
1007,amber,Gitter
24,amber,Gitter
3491,amber,Gitter
49,amber,Gitter
270,amber,Gitter
6697,amber,Gitter
26,amber,Gitter
NA,amber,Gitter
NA,amber,Gitter
NA,amber,Gitter
8492,amber,Gitter
3095,amber,Gitter
24,amber,Gitter
496,amber,Gitter
2216,amber,Gitter
4567,amber,Gitter
1650,amber,Gitter
146,amber,Gitter
67,amber,Gitter
50,amber,Gitter
NA,amber,Gitter
NA,amber,Gitter
NA,amber,Gitter
4,amber,Gitter
70,amber,Gitter
164,amber,Gitter
180,amber,Gitter
180,amber,Gitter
NA,amber,Gitter
4535,amber,Gitter
4,amber,Gitter
553,amber,Gitter
299,amber,Gitter
317,amber,Gitter
3701,amber,Gitter
6362,amber,Gitter
68,amber,Gitter
68,amber,Gitter
68,amber,Gitter
73,amber,Gitter
127,amber,Gitter
NA,amber,Gitter
435,amber,Gitter
151,amber,Gitter
NA,amber,Gitter
NA,amber,Gitter
81,amber,Gitter
10,amber,Gitter
125,amber,Gitter
NA,amber,Gitter
90,angular,Gitter
130,angular,Gitter
602,angular,Gitter
1387,angular,Gitter
602,angular,Gitter
433,angular,Gitter
1587,angular,Gitter
1216,angular,Gitter
1485,angular,Gitter
60,angular,Gitter
531,angular,Gitter
1151,angular,Gitter
1151,angular,Gitter
246,angular,Gitter
1387,angular,Gitter
214,angular,Gitter
214,angular,Gitter
92,angular,Gitter
582,angular,Gitter
23,angular,Gitter
1329,angular,Gitter
1329,angular,Gitter
214,angular,Gitter
529,angular,Gitter
1983,angular,Gitter
7,angular,Gitter
7,angular,Gitter
7,angular,Gitter
1262,angular,Gitter
1983,angular,Gitter
168,angular,Gitter
168,angular,Gitter
853,angular,Gitter
215,angular,Gitter
313,angular,Gitter
1,angular,Gitter
1603,angular,Gitter
522,angular,Gitter
2531,angular,Gitter
313,angular,Gitter
700,angular,Gitter
2402,angular,Gitter
2210,angular,Gitter
2402,angular,Gitter
17,angular,Gitter
17,angular,Gitter
700,angular,Gitter
266,angular,Gitter
21,angular,Gitter
168,angular,Gitter
34,angular,Gitter
480,angular,Gitter
385,angular,Gitter
480,angular,Gitter
230,angular,Gitter
1268,angular,Gitter
NA,angular,Gitter
NA,angular,Gitter
653,angular,Gitter
109,angular,Gitter
2402,angular,Gitter
623,angular,Gitter
621,angular,Gitter
2083,angular,Gitter
