"FileName","ShortRoomName","Repo","IssuesFound","No-of-Non-Issues(NA)","Real-Issues","ParentRepoSame","No-of-repo-only-issues","ForeignIssues","Larger projects have more external dependencies  hence more foreign issues"
"amber.json","amber","amberframework/amber",579,67,512,403,250,109,
"angular.json","angular","angular/angular",5910,587,5323,4355,3492,968,
"appium.json","appium","appium/appium",238,57,181,155,136,26,
"aws-sdk-go.json","aws-sdk-go","aws/aws-sdk-go",52,31,21,19,19,2,
"bootstrap.json","bootstrap","twbs/bootstrap",31,13,18,14,12,4,
"corefx.json","corefx","dotnet/corefx",511,117,394,342,218,52,
"gulp.json","gulp","gulpjs/gulp",85,13,72,37,34,35,
"jtAppleCalendar.json","JTAppleCalendar","patchthecode/JTAppleCalendar",141,61,80,79,79,1,
"magento2.json","magento2","magento/magento2",53,29,24,21,21,3,
"mailboxer.json","mailboxer","mailboxer/mailboxer",4,1,3,3,3,0,
"material-design-lite.json","material-design-lite","google/material-design-lite",85,34,51,42,42,9,
"meteor.json","meteor","meteor/meteor",183,23,160,62,60,98,
"monoGame.json","MonoGame","MonoGame/MonoGame",462,289,173,104,102,69,
"perfect.json","Perfect","PerfectlySoft/Perfect",36,13,23,19,14,4,
"react-starter-kit.json","react-starter-kit","kriasoft/react-starter-kit",265,62,203,157,141,46,
"scala.json","scala","scala/scala",1191,109,1082,616,214,466,
"shuup.json","shuup","shuup/shuup",52,15,37,23,23,14,
"theodinproject.json","theodinproject","TheOdinProject/theodinproject",395,267,128,32,9,96,
"typeScript.json","TypeScript","Microsoft/TypeScript",1765,329,1436,795,751,641,
"vue.json","vue","vuejs/vue",1057,116,941,674,294,267,
"webdriverio.json","webdriverio","webdriverio/webdriverio",1762,586,1176,917,775,259,
"zipkin.json","zipkin","openzipkin/zipkin",2832,344,2488,2154,902,334,
"deeplearning4j.json","deeplearning4j ","deeplearning4j/deeplearning4j or eclipse/deeplearning4j",2311,408,1903,1835,1165,68,
"open-event-attendee-android.json","open-event-android","Open-event-attendee-android or open-event-android",461,225,236,224,162,12,
